function_l1,function_l2,department,sub_department,vendor,amount_2018
COGS,Cost of Product,Customer Success,Commissions,,-27288
COGS,Cost of Product,Customer Success,External Contractors,,113890
COGS,Cost of Product,Customer Success,External Contractors,,50310
COGS,Cost of Product,Customer Success,Hosting,,4678
COGS,Cost of Product,Customer Success,Occupancy,,48852
COGS,Cost of Product,Customer Success,Occupancy,,1527
COGS,Cost of Product,Customer Success,Personnel,,19999
COGS,Cost of Product,Customer Success,Personnel,,16564
COGS,Cost of Product,Customer Success,Personnel,,8738
COGS,Cost of Product,Customer Success,Personnel,,12762
COGS,Cost of Product,Customer Success,T&E/Other,,1789
COGS,Cost of Product,Customer Success,T&E/Other,,12668
COGS,Cost of Product,Customer Success,T&E/Other,,636
COGS,Cost of Product,Customer Success,T&E/Other,,4128
COGS,Cost of Product,Customer Success,T&E/Other,,0
COGS,Cost of Product,Enhanced Support,Bonus,,0
COGS,Cost of Product,Enhanced Support,Outsourced Services,,0
COGS,Cost of Product,Technical Support,Bonus,,14332
COGS,Cost of Product,Technical Support,Bonus,,7740
COGS,Cost of Product,Technical Support,External Contractors,,33540
COGS,Cost of Product,Technical Support,Hosting,,0
COGS,Cost of Product,Technical Support,Occupancy,,120972
COGS,Cost of Product,Technical Support,Personnel,,5392
COGS,Cost of Product,Technical Support,Personnel,,331
COGS,Cost of Product,Technical Support,Personnel,,10819
COGS,Cost of Product,Technical Support,Personnel,,10238
COGS,Cost of Product,Technical Support,Personnel,,5960
COGS,Cost of Product,Technical Support,Personnel,,52976
COGS,Cost of Product,Technical Support,Personnel,,8131
COGS,Cost of Product,Technical Support,Personnel,,0
COGS,Cost of Product,Technical Support,T&E/Other,,968
COGS,Cost of Product,Technical Support,T&E/Other,,1445
COGS,Cost of Product,Technical Support,T&E/Other,,6115
COGS,Cost of Product,Technical Support,T&E/Other,,0
COGS,Cost of PSO,Professional Services,Bonus,,0
COGS,Cost of PSO,Professional Services,Bonus,,17596
COGS,Cost of PSO,Professional Services,Bonus,,48375
COGS,Cost of PSO,Professional Services,External Contractors,,30156
COGS,Cost of PSO,Professional Services,External Contractors,,-129
COGS,Cost of PSO,Professional Services,External Contractors,,117390
COGS,Cost of PSO,Professional Services,Occupancy,,1135
COGS,Cost of PSO,Professional Services,Occupancy,,464
COGS,Cost of PSO,Professional Services,Occupancy,,73276
COGS,Cost of PSO,Professional Services,Outsourced Services,,-40850
COGS,Cost of PSO,Professional Services,Outsourced Services,,40850
COGS,Cost of PSO,Professional Services,Outsourced Services,,324650
COGS,Cost of PSO,Professional Services,Personnel,,8798
COGS,Cost of PSO,Professional Services,Personnel,,14487
COGS,Cost of PSO,Professional Services,Personnel,,8437
COGS,Cost of PSO,Professional Services,Personnel,,25852
COGS,Cost of PSO,Professional Services,Personnel,,7731
COGS,Cost of PSO,Professional Services,T&E/Other,,7495
COGS,Cost of PSO,Professional Services,T&E/Other,,13098
COGS,Cost of PSO,Professional Services,T&E/Other,,11386
COGS,Cost of PSO,Professional Services,T&E/Other,,14293
COGS,Cost of PSO,Professional Services,T&E/Other,,-24506
COGS,Cost of PSO,Professional Services,T&E/Other,,24506
COGS,Cost of PSO,Professional Services,T&E/Other,,6016
COGS,Cost of Product,Cloud Operations,Commissions,,774
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,417
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,3638
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,237
COGS,Cost of Product,Cloud Operations,Hosting,,15639
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,6717
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,76273
COGS,Cost of Product,Cloud Operations,Hosting,,30973
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,3204
COGS,Cost of Product,Cloud Operations,Occupancy,,77
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Occupancy,,8351
COGS,Cost of Product,Cloud Operations,Occupancy,,2322
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Outsourced Services,,43538
COGS,Cost of Product,Cloud Operations,Outsourced Services,,3698
COGS,Cost of Product,Cloud Operations,Personnel,,387
COGS,Cost of Product,Cloud Operations,Personnel,,555
COGS,Cost of Product,Cloud Operations,Personnel,,1819
COGS,Cost of Product,Cloud Operations,Personnel,,490
COGS,Cost of Product,Cloud Operations,Personnel,,366
COGS,Cost of Product,Cloud Operations,Personnel,,409
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Cloud Operations,T&E/Other,,396
COGS,Cost of Product,Cloud Operations,T&E/Other,,7134
COGS,Cost of Product,Cloud Operations,T&E/Other,,206
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Cloud Operations,T&E/Other,,6480
COGS,Cost of Product,Customer Success,Bonus,,46453
COGS,Cost of Product,Customer Success,Occupancy,,13941
COGS,Cost of Product,Customer Success,Occupancy,,4175
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,Personnel,,7654
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,Personnel,,3672
COGS,Cost of Product,Customer Success,Personnel,,19999
COGS,Cost of Product,Customer Success,T&E/Other,,873
COGS,Cost of Product,Customer Success,T&E/Other,,7994
COGS,Cost of Product,Customer Success,T&E/Other,,10045
COGS,Cost of Product,Customer Success,T&E/Other,,0
COGS,Cost of Product,Customer Success,T&E/Other,,2034
COGS,Cost of Product,Customer Success,T&E/Other,,1230
COGS,Cost of Product,Customer Success,T&E/Other,,2167
COGS,Cost of Product,Customer Success,T&E/Other,,1974
COGS,Cost of Product,Customer Success,T&E/Other,,254
COGS,Cost of Product,Enhanced Support,Occupancy,,62737
COGS,Cost of Product,Enhanced Support,Personnel,,12947
COGS,Cost of Product,Enhanced Support,Personnel,,11103
COGS,Cost of Product,Enhanced Support,Personnel,,7491
COGS,Cost of Product,Enhanced Support,Personnel,,5040
COGS,Cost of Product,Enhanced Support,Personnel,,6579
COGS,Cost of Product,Enhanced Support,Personnel,,9512
COGS,Cost of Product,Enhanced Support,Personnel,,10565
COGS,Cost of Product,Enhanced Support,Personnel,,90003
COGS,Cost of Product,Enhanced Support,Personnel,,7297
COGS,Cost of Product,Enhanced Support,Personnel,,10883
COGS,Cost of Product,Enhanced Support,Personnel,,14113
COGS,Cost of Product,Enhanced Support,Personnel,,10367
COGS,Cost of Product,Technical Support,External Contractors,,33540
COGS,Cost of Product,Technical Support,Personnel,,0
COGS,Cost of Product,Technical Support,T&E/Other,,856
COGS,Cost of Product,Technical Support,T&E/Other,,0
COGS,Cost of PSO,Education and Training,Occupancy,,6970
COGS,Cost of PSO,Education and Training,Personnel,,6708
COGS,Cost of PSO,Education and Training,Personnel,,10002
COGS,Cost of PSO,Professional Services,Occupancy,,6970
COGS,Cost of PSO,Professional Services,Personnel,,16280
COGS,Cost of PSO,Professional Services,Personnel,,10002
COGS,Cost of Product,Cloud Operations,Commissions,,361
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,182772
COGS,Cost of Product,Cloud Operations,Hosting,,5225
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,121101
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,12754
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Occupancy,,13248
COGS,Cost of Product,Cloud Operations,Outsourced Services,,3496
COGS,Cost of Product,Cloud Operations,Personnel,,5556
COGS,Cost of Product,Cloud Operations,Personnel,,8041
COGS,Cost of Product,Cloud Operations,Personnel,,11266
COGS,Cost of Product,Cloud Operations,Personnel,,1802
COGS,Cost of Product,Cloud Operations,Personnel,,9666
COGS,Cost of Product,Cloud Operations,Personnel,,7280
COGS,Cost of Product,Cloud Operations,Personnel,,5354
COGS,Cost of Product,Cloud Operations,Personnel,,7297
COGS,Cost of Product,Cloud Operations,Personnel,,0
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Cloud Operations,T&E/Other,,460
COGS,Cost of Product,Cloud Operations,T&E/Other,,206
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Customer Success,Commissions,,628
COGS,Cost of Product,Customer Success,Commissions,,0
COGS,Cost of Product,Customer Success,Marketing,,1565
COGS,Cost of Product,Customer Success,Occupancy,,13248
COGS,Cost of Product,Customer Success,Personnel,,5194
COGS,Cost of Product,Customer Success,Personnel,,331
COGS,Cost of Product,Customer Success,Personnel,,7529
COGS,Cost of Product,Customer Success,Personnel,,5354
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,T&E/Other,,1441
COGS,Cost of Product,Customer Success,T&E/Other,,636
COGS,Cost of Product,Customer Success,T&E/Other,,3173
COGS,Cost of Product,Technical Support,Bonus,,7147
COGS,Cost of Product,Technical Support,Commissions,,2356
COGS,Cost of Product,Technical Support,Commissions,,0
COGS,Cost of Product,Technical Support,Occupancy,,19875
COGS,Cost of Product,Technical Support,Personnel,,7439
COGS,Cost of Product,Technical Support,Personnel,,4158
COGS,Cost of Product,Technical Support,Personnel,,8032
COGS,Cost of Product,Technical Support,Personnel,,3741
COGS,Cost of Product,Technical Support,Personnel,,0
COGS,Cost of Product,Technical Support,T&E/Other,,12612
COGS,Cost of PSO,Education and Training,T&E/Other,,0
COGS,Cost of PSO,Education and Training,T&E/Other,,2430
COGS,Cost of PSO,Professional Services,Bonus,,25413
COGS,Cost of PSO,Professional Services,Commissions,,3926
COGS,Cost of PSO,Professional Services,Commissions,,0
COGS,Cost of PSO,Professional Services,Occupancy,,658
COGS,Cost of PSO,Professional Services,Occupancy,,26497
COGS,Cost of PSO,Professional Services,Personnel,,7439
COGS,Cost of PSO,Professional Services,Personnel,,5891
COGS,Cost of PSO,Professional Services,Personnel,,10711
COGS,Cost of PSO,Professional Services,Personnel,,6394
COGS,Cost of PSO,Professional Services,Personnel,,7061
COGS,Cost of PSO,Professional Services,Personnel,,0
COGS,Cost of PSO,Professional Services,T&E/Other,,17673
COGS,Cost of PSO,Professional Services,T&E/Other,,7138
COGS,Cost of PSO,Professional Services,T&E/Other,,34907
COGS,Cost of PSO,Professional Services,T&E/Other,,50142
COGS,Cost of PSO,Professional Services,T&E/Other,,533
COGS,Cost of Product,Cloud Operations,Hosting,,188198
COGS,Cost of Product,Cloud Operations,Hosting,,2210
COGS,Cost of Product,Cloud Operations,Outsourced Services,,2464
COGS,Cost of Product,Cloud Operations,Personnel,,-13450
COGS,Cost of Product,Cloud Operations,Personnel,,7203
COGS,Cost of Product,Cloud Operations,Personnel,,6248
COGS,Cost of Product,Cloud Operations,T&E/Other,,42557
COGS,Cost of Product,Customer Success,Bonus,,10750
COGS,Cost of Product,Customer Success,Bonus,,39728
COGS,Cost of Product,Customer Success,External Contractors,,14964
COGS,Cost of Product,Customer Success,Occupancy,,39040
COGS,Cost of Product,Customer Success,Personnel,,14912
COGS,Cost of Product,Customer Success,Personnel,,6635
COGS,Cost of Product,Customer Success,Personnel,,6992
COGS,Cost of Product,Customer Success,Personnel,,20206
COGS,Cost of Product,Customer Success,Personnel,,2864
COGS,Cost of Product,Customer Success,T&E/Other,,2374
COGS,Cost of Product,Customer Success,T&E/Other,,77305
COGS,Cost of Product,Customer Success,T&E/Other,,6214
COGS,Cost of Product,Technical Support,Bonus,,7370
COGS,Cost of Product,Technical Support,External Contractors,,44720
COGS,Cost of Product,Technical Support,Hosting,,3216
COGS,Cost of Product,Technical Support,Occupancy,,155
COGS,Cost of Product,Technical Support,Occupancy,,249
COGS,Cost of Product,Technical Support,Occupancy,,33183
COGS,Cost of Product,Technical Support,Personnel,,6282
COGS,Cost of Product,Technical Support,Personnel,,8002
COGS,Cost of Product,Technical Support,Personnel,,3358
COGS,Cost of Product,Technical Support,Personnel,,396
COGS,Cost of Product,Technical Support,Personnel,,7787
COGS,Cost of Product,Technical Support,Personnel,,4356
COGS,Cost of Product,Technical Support,T&E/Other,,323
COGS,Cost of PSO,Education and Training,Bonus,,5736
COGS,Cost of PSO,Education and Training,Occupancy,,21792
COGS,Cost of PSO,Education and Training,Personnel,,4455
COGS,Cost of PSO,Education and Training,Personnel,,7727
COGS,Cost of PSO,Education and Training,Personnel,,8923
COGS,Cost of PSO,Professional Services,Bonus,,9830
COGS,Cost of PSO,Professional Services,Bonus,,7370
COGS,Cost of PSO,Professional Services,Bonus,,9830
COGS,Cost of PSO,Professional Services,Bonus,,29485
COGS,Cost of PSO,Professional Services,Bonus,,7370
COGS,Cost of PSO,Professional Services,Bonus,,7370
COGS,Cost of PSO,Professional Services,Bonus,,9830
COGS,Cost of PSO,Professional Services,Bonus,,8600
COGS,Cost of PSO,Professional Services,Bonus,,14745
COGS,Cost of PSO,Professional Services,Commissions,,1238
COGS,Cost of PSO,Professional Services,Commissions,,-9503
COGS,Cost of PSO,Professional Services,External Contractors,,23444
COGS,Cost of PSO,Professional Services,Occupancy,,119871
COGS,Cost of PSO,Professional Services,Personnel,,3204
COGS,Cost of PSO,Professional Services,Personnel,,9138
COGS,Cost of PSO,Professional Services,Personnel,,8854
COGS,Cost of PSO,Professional Services,Personnel,,1965
COGS,Cost of PSO,Professional Services,Personnel,,11894
COGS,Cost of PSO,Professional Services,Personnel,,24622
COGS,Cost of PSO,Professional Services,Personnel,,11434
COGS,Cost of PSO,Professional Services,Personnel,,9103
COGS,Cost of PSO,Professional Services,Personnel,,9937
COGS,Cost of PSO,Professional Services,Personnel,,9030
COGS,Cost of PSO,Professional Services,Personnel,,7946
COGS,Cost of PSO,Professional Services,Personnel,,1974
COGS,Cost of PSO,Professional Services,Personnel,,99
COGS,Cost of PSO,Professional Services,Personnel,,13777
COGS,Cost of PSO,Professional Services,Personnel,,13356
COGS,Cost of PSO,Professional Services,T&E/Other,,6472
COGS,Cost of PSO,Professional Services,T&E/Other,,34146
COGS,Cost of PSO,Professional Services,T&E/Other,,21087
COGS,Cost of PSO,Professional Services,T&E/Other,,3118
COGS,Cost of PSO,Professional Services,T&E/Other,,4644
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,108971
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,42923
COGS,Cost of Product,Cloud Operations,Hosting,,115481
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,9585
COGS,Cost of Product,Cloud Operations,Hosting,,6338
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,6106
COGS,Cost of Product,Cloud Operations,Marketing,,344
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Outsourced Services,,3698
COGS,Cost of Product,Cloud Operations,Personnel,,563
COGS,Cost of Product,Cloud Operations,Personnel,,804
COGS,Cost of Product,Cloud Operations,Personnel,,4274
COGS,Cost of Product,Cloud Operations,Personnel,,714
COGS,Cost of Product,Cloud Operations,Personnel,,533
COGS,Cost of Product,Cloud Operations,Personnel,,593
COGS,Cost of Product,Cloud Operations,T&E/Other,,1290
COGS,Cost of Product,Cloud Operations,T&E/Other,,2946
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Customer Success,Bonus,,1974
COGS,Cost of Product,Customer Success,External Contractors,,70331
COGS,Cost of Product,Customer Success,Occupancy,,125
COGS,Cost of Product,Customer Success,Occupancy,,0
COGS,Cost of Product,Customer Success,Personnel,,3702
COGS,Cost of Product,Customer Success,T&E/Other,,3350
COGS,Cost of Product,Customer Success,T&E/Other,,8604
COGS,Cost of Product,Customer Success,T&E/Other,,0
COGS,Cost of Product,Technical Support,Bonus,,2141
COGS,Cost of Product,Technical Support,External Contractors,,5590
COGS,Cost of Product,Technical Support,Occupancy,,667
COGS,Cost of Product,Technical Support,Occupancy,,108683
COGS,Cost of Product,Technical Support,Occupancy,,43
COGS,Cost of Product,Technical Support,Personnel,,0
COGS,Cost of Product,Technical Support,Personnel,,3672
COGS,Cost of Product,Technical Support,Personnel,,5865
COGS,Cost of Product,Technical Support,Personnel,,4085
COGS,Cost of Product,Technical Support,Personnel,,980
COGS,Cost of Product,Technical Support,Personnel,,5061
COGS,Cost of Product,Technical Support,Personnel,,4038
COGS,Cost of Product,Technical Support,Personnel,,4924
COGS,Cost of Product,Technical Support,Personnel,,1230
COGS,Cost of Product,Technical Support,Personnel,,87028
COGS,Cost of Product,Technical Support,Personnel,,4743
COGS,Cost of Product,Technical Support,Personnel,,4274
COGS,Cost of Product,Technical Support,T&E/Other,,0
COGS,Cost of Product,Technical Support,T&E/Other,,2197
COGS,Cost of Product,Technical Support,T&E/Other,,0
COGS,Cost of PSO,Education and Training,Bonus,,3870
COGS,Cost of PSO,Education and Training,Hosting,,3870
COGS,Cost of PSO,Education and Training,Hosting,,1931
COGS,Cost of PSO,Education and Training,Occupancy,,12590
COGS,Cost of PSO,Education and Training,Personnel,,10002
COGS,Cost of PSO,Education and Training,Personnel,,727
COGS,Cost of PSO,Education and Training,Personnel,,5194
COGS,Cost of PSO,Education and Training,T&E/Other,,16602
COGS,Cost of PSO,Professional Services,Bonus,,11825
COGS,Cost of PSO,Professional Services,Commissions,,-8609
COGS,Cost of PSO,Professional Services,Commissions,,520
COGS,Cost of PSO,Professional Services,Occupancy,,28862
COGS,Cost of PSO,Professional Services,Personnel,,7289
COGS,Cost of PSO,Professional Services,Personnel,,5345
COGS,Cost of PSO,Professional Services,Personnel,,19999
COGS,Cost of PSO,Professional Services,Personnel,,985
COGS,Cost of Product,Cloud Operations,External Contractors,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Technical Support,External Contractors,,0
COGS,Cost of Product,Cloud Operations,Hosting,,8308
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Occupancy,,4468
COGS,Cost of Product,Cloud Operations,Outsourced Services,,0
COGS,Cost of Product,Cloud Operations,External Contractors,,39891
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,35462
COGS,Cost of Product,Cloud Operations,Hosting,,21500
COGS,Cost of Product,Cloud Operations,Hosting,,325510
COGS,Cost of Product,Cloud Operations,Hosting,,29128
COGS,Cost of Product,Cloud Operations,Hosting,,47554
COGS,Cost of Product,Cloud Operations,Hosting,,311084
COGS,Cost of Product,Cloud Operations,Hosting,,664913
COGS,Cost of Product,Cloud Operations,Hosting,,-6450
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,999681
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,149640
COGS,Cost of Product,Cloud Operations,Hosting,,138666
COGS,Cost of Product,Cloud Operations,Hosting,,5444
COGS,Cost of Product,Cloud Operations,Hosting,,10750
COGS,Cost of Product,Cloud Operations,Hosting,,119127
COGS,Cost of Product,Cloud Operations,Occupancy,,33390
COGS,Cost of Product,Cloud Operations,Occupancy,,5375
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Outsourced Services,,3698
COGS,Cost of Product,Cloud Operations,Personnel,,538
COGS,Cost of Product,Cloud Operations,Personnel,,765
COGS,Cost of Product,Cloud Operations,Personnel,,679
COGS,Cost of Product,Cloud Operations,Personnel,,507
COGS,Cost of Product,Cloud Operations,Personnel,,563
COGS,Cost of Product,Cloud Operations,T&E/Other,,0
COGS,Cost of Product,Cloud Operations,T&E/Other,,1066
COGS,Cost of Product,Cloud Operations,T&E/Other,,-13
COGS,Cost of Product,Customer Success,Hosting,,1054
COGS,Cost of Product,Customer Success,Occupancy,,370
COGS,Cost of Product,Customer Success,Occupancy,,77899
COGS,Cost of Product,Customer Success,Outsourced Services,,6923
COGS,Cost of Product,Customer Success,Personnel,,7039
COGS,Cost of Product,Customer Success,Personnel,,18899
COGS,Cost of Product,Customer Success,Personnel,,15506
COGS,Cost of Product,Customer Success,Personnel,,7568
COGS,Cost of Product,Customer Success,Personnel,,6828
COGS,Cost of Product,Customer Success,Personnel,,9021
COGS,Cost of Product,Customer Success,Personnel,,25813
COGS,Cost of Product,Customer Success,Personnel,,0
COGS,Cost of Product,Customer Success,Personnel,,70004
COGS,Cost of Product,Customer Success,T&E/Other,,8110
COGS,Cost of Product,Customer Success,T&E/Other,,8179
COGS,Cost of Product,Customer Success,T&E/Other,,18352
COGS,Cost of Product,Customer Success,T&E/Other,,9666
COGS,Cost of Product,Customer Success,T&E/Other,,4240
COGS,Cost of Product,Customer Success,T&E/Other,,645
COGS,Cost of Product,Customer Success,T&E/Other,,3247
COGS,Cost of Product,Customer Success,T&E/Other,,6218
COGS,Cost of Product,Technical Support,External Contractors,,37010
COGS,Cost of Product,Technical Support,Hosting,,3199
COGS,Cost of PSO,Professional Services,Hosting,,2576
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,108971
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,25779
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,68770
COGS,Cost of Product,Cloud Operations,Hosting,,7228
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,123814
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,13700
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,57654
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,0
COGS,Cost of Product,Cloud Operations,Hosting,,129525
COGS,Cost of Product,Cloud Operations,Occupancy,,32297
COGS,Cost of Product,Cloud Operations,Occupancy,,0
COGS,Cost of Product,Cloud Operations,Outsourced Services,,3698
COGS,Cost of Product,Cloud Operations,Personnel,,697
