tier,type,customer_name,amount_2018
Revenue,PSO,,7590
Revenue,PSO,,7503
Revenue,PSO,,7245
Revenue,PSO,,6325
Revenue,PSO,,5980
Revenue,PSO,,3450
Revenue,PSO,,1762
Revenue,PSO,,920
Revenue,PSO,,0
Revenue,PSO,,-131151
Revenue,PSO,,367384
Revenue,PSO,,275830
Revenue,PSO,,204613
Revenue,PSO,,180329
Revenue,PSO,,138120
Revenue,PSO,,134522
Revenue,PSO,,90878
Revenue,PSO,,84332
Revenue,PSO,,79401
Revenue,PSO,,69405
Revenue,PSO,,63715
Revenue,PSO,,52297
Revenue,PSO,,51037
Revenue,PSO,,48783
Revenue,PSO,,46133
Revenue,PSO,,39877
Revenue,PSO,,37633
Revenue,PSO,,36455
Revenue,PSO,,36050
Revenue,PSO,,35530
Revenue,PSO,,34486
Revenue,PSO,,32384
Revenue,PSO,,30990
Revenue,PSO,,30029
Revenue,PSO,,25130
Revenue,PSO,,25102
Revenue,PSO,,20585
Revenue,PSO,,20442
Revenue,PSO,,17972
Revenue,PSO,,17609
Revenue,PSO,,17595
Revenue,PSO,,16040
Revenue,PSO,,14260
Revenue,PSO,,13878
Revenue,PSO,,13818
Revenue,PSO,,13483
Revenue,PSO,,12383
Revenue,PSO,,12149
Revenue,PSO,,11242
Revenue,PSO,,10414
Revenue,PSO,,8216
Revenue,PSO,,8211
Revenue,PSO,,7144
Revenue,PSO,,6049
Revenue,PSO,,5856
Revenue,PSO,,5805
Revenue,PSO,,5686
Revenue,PSO,,4890
Revenue,PSO,,4517
Revenue,PSO,,4398
Revenue,PSO,,3813
Revenue,PSO,,3312
Revenue,PSO,,2916
Revenue,PSO,,2884
Revenue,PSO,,2852
Revenue,PSO,,2452
Revenue,PSO,,2429
Revenue,PSO,,2420
Revenue,PSO,,2300
Revenue,PSO,,2277
Revenue,PSO,,1996
Revenue,PSO,,1748
Revenue,PSO,,1693
Revenue,PSO,,906
Revenue,PSO,,695
Revenue,PSO,,653
Revenue,PSO,,451
Revenue,PSO,,437
Revenue,PSO,,377
Revenue,PSO,,377
Revenue,PSO,,350
Revenue,PSO,,304
Revenue,PSO,,0
Revenue,PSO,,189989
Revenue,PSO,,71438
Revenue,PSO,,71415
Revenue,PSO,,62390
Revenue,PSO,,51520
Revenue,PSO,,37030
Revenue,PSO,,18326
Revenue,PSO,,17475
Revenue,PSO,,0
Revenue,PSO,,0
Revenue,PSO,,-9039
