tier,type,customer_name,amount_2018
Revenue,Recurring,,4140
Revenue,Recurring,,4082
Revenue,Recurring,,3933
Revenue,Recurring,,3195
Revenue,Recurring,,3150
Revenue,Recurring,,2646
Revenue,Recurring,,2048
Revenue,Recurring,,1683
Revenue,Recurring,,1503
Revenue,Recurring,,0
Revenue,Recurring,,214799
Revenue,Recurring,,145647
Revenue,Recurring,,142254
Revenue,Recurring,,92813
Revenue,Recurring,,78818
Revenue,Recurring,,77661
Revenue,Recurring,,73958
Revenue,Recurring,,64260
Revenue,Recurring,,57870
Revenue,Recurring,,45882
Revenue,Recurring,,45405
Revenue,Recurring,,41634
Revenue,Recurring,,38574
Revenue,Recurring,,35222
Revenue,Recurring,,34502
Revenue,Recurring,,31784
Revenue,Recurring,,31752
Revenue,Recurring,,31617
Revenue,Recurring,,31500
Revenue,Recurring,,27954
Revenue,Recurring,,26523
Revenue,Recurring,,25605
Revenue,Recurring,,25272
Revenue,Recurring,,25200
Revenue,Recurring,,25182
Revenue,Recurring,,24579
Revenue,Recurring,,21713
Revenue,Recurring,,21060
Revenue,Recurring,,19341
Revenue,Recurring,,19008
Revenue,Recurring,,18896
Revenue,Recurring,,18405
Revenue,Recurring,,18068
Revenue,Recurring,,17955
Revenue,Recurring,,17640
Revenue,Recurring,,17402
Revenue,Recurring,,16245
Revenue,Recurring,,15957
Revenue,Recurring,,15858
Revenue,Recurring,,14184
Revenue,Recurring,,13914
Revenue,Recurring,,12965
Revenue,Recurring,,12681
Revenue,Recurring,,12470
Revenue,Recurring,,12222
Revenue,Recurring,,11817
Revenue,Recurring,,11439
Revenue,Recurring,,11354
Revenue,Recurring,,11250
Revenue,Recurring,,11178
Revenue,Recurring,,10440
Revenue,Recurring,,10022
Revenue,Recurring,,9306
Revenue,Recurring,,9135
Revenue,Recurring,,9000
Revenue,Recurring,,8820
Revenue,Recurring,,8708
Revenue,Recurring,,8640
Revenue,Recurring,,8415
Revenue,Recurring,,8370
Revenue,Recurring,,8361
Revenue,Recurring,,7803
Revenue,Recurring,,7767
Revenue,Recurring,,7560
Revenue,Recurring,,7560
Revenue,Recurring,,7349
Revenue,Recurring,,7344
Revenue,Recurring,,7043
Revenue,Recurring,,6966
Revenue,Recurring,,6957
Revenue,Recurring,,6917
Revenue,Recurring,,6854
Revenue,Recurring,,6440
Revenue,Recurring,,6291
Revenue,Recurring,,6030
Revenue,Recurring,,6003
Revenue,Recurring,,5927
Revenue,Recurring,,5891
Revenue,Recurring,,5882
Revenue,Recurring,,5805
Revenue,Recurring,,5702
Revenue,Recurring,,5580
Revenue,Recurring,,5513
Revenue,Recurring,,5400
Revenue,Recurring,,5288
Revenue,Recurring,,5279
Revenue,Recurring,,5175
Revenue,Recurring,,5099
Revenue,Recurring,,5072
Revenue,Recurring,,4950
Revenue,Recurring,,4824
Revenue,Recurring,,4725
Revenue,Recurring,,4608
Revenue,Recurring,,4397
Revenue,Recurring,,4343
Revenue,Recurring,,4109
Revenue,Recurring,,4037
Revenue,Recurring,,3906
Revenue,Recurring,,3713
Revenue,Recurring,,3654
Revenue,Recurring,,3600
Revenue,Recurring,,3465
Revenue,Recurring,,3380
Revenue,Recurring,,3357
Revenue,Recurring,,3339
Revenue,Recurring,,3276
Revenue,Recurring,,2831
Revenue,Recurring,,2678
Revenue,Recurring,,2228
Revenue,Recurring,,2205
Revenue,Recurring,,2138
Revenue,Recurring,,1985
Revenue,Recurring,,1827
Revenue,Recurring,,1787
Revenue,Recurring,,1670
Revenue,Recurring,,1647
Revenue,Recurring,,1566
Revenue,Recurring,,1382
Revenue,Recurring,,1202
Revenue,Recurring,,918
Revenue,Recurring,,729
Revenue,Recurring,,419
Revenue,Recurring,,342
Revenue,Recurring,,167
Revenue,Recurring,,153
Revenue,Recurring,,0
Revenue,Recurring,,0
Revenue,Recurring,,669636
Revenue,Recurring,,450905
Revenue,Recurring,,351810
Revenue,Recurring,,164489
Revenue,Recurring,,162743
Revenue,Recurring,,116811
Revenue,Recurring,,92597
Revenue,Recurring,,90567
Revenue,Recurring,,81122
Revenue,Recurring,,78764
Revenue,Recurring,,77211
Revenue,Recurring,,76919
Revenue,Recurring,,74979
Revenue,Recurring,,60543
Revenue,Recurring,,56430
Revenue,Recurring,,55382
Revenue,Recurring,,54140
Revenue,Recurring,,53366
Revenue,Recurring,,52916
Revenue,Recurring,,52295
Revenue,Recurring,,47678
Revenue,Recurring,,45900
Revenue,Recurring,,41202
Revenue,Recurring,,38858
Revenue,Recurring,,38651
Revenue,Recurring,,36486
Revenue,Recurring,,36243
Revenue,Recurring,,36063
Revenue,Recurring,,34268
Revenue,Recurring,,34025
Revenue,Recurring,,33750
Revenue,Recurring,,32778
Revenue,Recurring,,32166
Revenue,Recurring,,31748
Revenue,Recurring,,31586
Revenue,Recurring,,31289
Revenue,Recurring,,30915
Revenue,Recurring,,30618
Revenue,Recurring,,30519
Revenue,Recurring,,29804
Revenue,Recurring,,28611
Revenue,Recurring,,27329
Revenue,Recurring,,27302
Revenue,Recurring,,26919
Revenue,Recurring,,26793
Revenue,Recurring,,26717
Revenue,Recurring,,26375
Revenue,Recurring,,26280
Revenue,Recurring,,25853
Revenue,Recurring,,25736
Revenue,Recurring,,25394
Revenue,Recurring,,25173
Revenue,Recurring,,24161
Revenue,Recurring,,23531
Revenue,Recurring,,23427
Revenue,Recurring,,22896
Revenue,Recurring,,22811
Revenue,Recurring,,21128
Revenue,Recurring,,20700
Revenue,Recurring,,20250
Revenue,Recurring,,20165
Revenue,Recurring,,20129
Revenue,Recurring,,19881
Revenue,Recurring,,19719
Revenue,Recurring,,19634
Revenue,Recurring,,19562
Revenue,Recurring,,19395
Revenue,Recurring,,19040
Revenue,Recurring,,18567
Revenue,Recurring,,18369
Revenue,Recurring,,18365
Revenue,Recurring,,17888
Revenue,Recurring,,17789
Revenue,Recurring,,17393
Revenue,Recurring,,17069
Revenue,Recurring,,16835
Revenue,Recurring,,16817
Revenue,Recurring,,16785
Revenue,Recurring,,16785
Revenue,Recurring,,16682
Revenue,Recurring,,15651
Revenue,Recurring,,15507
Revenue,Recurring,,15336
Revenue,Recurring,,15260
Revenue,Recurring,,15188
Revenue,Recurring,,14796
Revenue,Recurring,,14625
Revenue,Recurring,,14598
Revenue,Recurring,,14531
Revenue,Recurring,,14157
Revenue,Recurring,,14085
Revenue,Recurring,,14040
Revenue,Recurring,,13905
Revenue,Recurring,,13388
Revenue,Recurring,,13316
Revenue,Recurring,,13244
Revenue,Recurring,,13154
Revenue,Recurring,,13077
Revenue,Recurring,,12987
Revenue,Recurring,,12816
Revenue,Recurring,,12807
Revenue,Recurring,,12605
Revenue,Recurring,,12447
Revenue,Recurring,,12267
Revenue,Recurring,,12213
Revenue,Recurring,,12128
Revenue,Recurring,,11799
Revenue,Recurring,,11777
Revenue,Recurring,,11759
Revenue,Recurring,,11687
Revenue,Recurring,,11673
Revenue,Recurring,,11619
Revenue,Recurring,,11552
Revenue,Recurring,,11516
Revenue,Recurring,,11507
Revenue,Recurring,,11480
Revenue,Recurring,,11399
Revenue,Recurring,,11376
Revenue,Recurring,,11309
Revenue,Recurring,,11241
Revenue,Recurring,,11205
Revenue,Recurring,,11012
Revenue,Recurring,,10998
Revenue,Recurring,,10949
Revenue,Recurring,,10859
Revenue,Recurring,,10796
Revenue,Recurring,,10760
Revenue,Recurring,,10683
Revenue,Recurring,,10679
Revenue,Recurring,,10670
Revenue,Recurring,,10634
Revenue,Recurring,,10247
Revenue,Recurring,,10229
Revenue,Recurring,,10116
Revenue,Recurring,,10080
Revenue,Recurring,,10040
Revenue,Recurring,,10026
Revenue,Recurring,,9828
Revenue,Recurring,,9828
Revenue,Recurring,,9810
Revenue,Recurring,,9675
Revenue,Recurring,,9662
Revenue,Recurring,,9662
Revenue,Recurring,,9594
Revenue,Recurring,,9500
Revenue,Recurring,,9401
Revenue,Recurring,,9374
Revenue,Recurring,,9360
Revenue,Recurring,,9257
Revenue,Recurring,,9203
Revenue,Recurring,,9108
Revenue,Recurring,,9081
Revenue,Recurring,,9005
Revenue,Recurring,,8951
Revenue,Recurring,,8933
Revenue,Recurring,,8883
Revenue,Recurring,,8861
Revenue,Recurring,,8838
Revenue,Recurring,,8834
Revenue,Recurring,,8825
Revenue,Recurring,,8658
Revenue,Recurring,,8640
Revenue,Recurring,,8636
Revenue,Recurring,,8609
Revenue,Recurring,,8541
Revenue,Recurring,,8438
Revenue,Recurring,,8438
Revenue,Recurring,,8406
Revenue,Recurring,,8397
Revenue,Recurring,,8343
Revenue,Recurring,,8330
Revenue,Recurring,,8330
Revenue,Recurring,,8321
Revenue,Recurring,,8208
Revenue,Recurring,,8118
Revenue,Recurring,,8114
Revenue,Recurring,,8109
Revenue,Recurring,,8096
Revenue,Recurring,,8028
Revenue,Recurring,,8015
Revenue,Recurring,,7992
Revenue,Recurring,,7988
Revenue,Recurring,,7983
Revenue,Recurring,,7979
Revenue,Recurring,,7970
Revenue,Recurring,,7911
Revenue,Recurring,,7875
Revenue,Recurring,,7772
Revenue,Recurring,,7709
Revenue,Recurring,,7673
Revenue,Recurring,,7673
Revenue,Recurring,,7641
Revenue,Recurring,,7637
Revenue,Recurring,,7556
Revenue,Recurring,,7488
Revenue,Recurring,,7448
Revenue,Recurring,,7371
Revenue,Recurring,,7295
Revenue,Recurring,,7286
Revenue,Recurring,,7281
Revenue,Recurring,,7281
Revenue,Recurring,,7268
Revenue,Recurring,,7200
Revenue,Recurring,,7146
Revenue,Recurring,,7070
Revenue,Recurring,,7061
Revenue,Recurring,,7011
Revenue,Recurring,,7011
Revenue,Recurring,,6998
Revenue,Recurring,,6993
Revenue,Recurring,,6971
Revenue,Recurring,,6917
Revenue,Recurring,,6908
Revenue,Recurring,,6867
Revenue,Recurring,,6867
Revenue,Recurring,,6777
Revenue,Recurring,,6737
Revenue,Recurring,,6728
Revenue,Recurring,,6620
Revenue,Recurring,,6611
Revenue,Recurring,,6593
Revenue,Recurring,,6579
Revenue,Recurring,,6566
Revenue,Recurring,,6539
Revenue,Recurring,,6485
Revenue,Recurring,,6413
Revenue,Recurring,,6363
Revenue,Recurring,,6341
Revenue,Recurring,,6201
Revenue,Recurring,,6174
Revenue,Recurring,,6093
Revenue,Recurring,,6093
Revenue,Recurring,,6080
Revenue,Recurring,,6075
Revenue,Recurring,,6039
Revenue,Recurring,,6039
Revenue,Recurring,,6012
Revenue,Recurring,,5963
Revenue,Recurring,,5954
Revenue,Recurring,,5949
Revenue,Recurring,,5949
Revenue,Recurring,,5900
Revenue,Recurring,,5900
Revenue,Recurring,,5895
Revenue,Recurring,,5841
Revenue,Recurring,,5819
Revenue,Recurring,,5814
Revenue,Recurring,,5810
Revenue,Recurring,,5783
Revenue,Recurring,,5760
Revenue,Recurring,,5720
Revenue,Recurring,,5625
Revenue,Recurring,,5621
Revenue,Recurring,,5607
Revenue,Recurring,,5589
Revenue,Recurring,,5468
Revenue,Recurring,,5423
Revenue,Recurring,,5409
Revenue,Recurring,,5369
Revenue,Recurring,,5369
Revenue,Recurring,,5328
Revenue,Recurring,,5283
Revenue,Recurring,,5279
Revenue,Recurring,,5247
Revenue,Recurring,,5238
Revenue,Recurring,,5234
Revenue,Recurring,,5229
Revenue,Recurring,,5220
Revenue,Recurring,,5198
Revenue,Recurring,,5193
Revenue,Recurring,,5180
Revenue,Recurring,,5162
Revenue,Recurring,,5135
Revenue,Recurring,,5099
Revenue,Recurring,,5090
Revenue,Recurring,,5067
Revenue,Recurring,,5045
Revenue,Recurring,,5031
Revenue,Recurring,,5004
Revenue,Recurring,,4973
Revenue,Recurring,,4964
Revenue,Recurring,,4959
Revenue,Recurring,,4955
Revenue,Recurring,,4923
Revenue,Recurring,,4896
Revenue,Recurring,,4892
Revenue,Recurring,,4887
Revenue,Recurring,,4883
Revenue,Recurring,,4883
Revenue,Recurring,,4883
Revenue,Recurring,,4883
Revenue,Recurring,,4883
Revenue,Recurring,,4883
Revenue,Recurring,,4802
Revenue,Recurring,,4788
Revenue,Recurring,,4766
Revenue,Recurring,,4757
Revenue,Recurring,,4689
Revenue,Recurring,,4685
Revenue,Recurring,,4680
Revenue,Recurring,,4680
Revenue,Recurring,,4680
Revenue,Recurring,,4680
Revenue,Recurring,,4667
Revenue,Recurring,,4653
Revenue,Recurring,,4653
Revenue,Recurring,,4622
Revenue,Recurring,,4617
Revenue,Recurring,,4613
Revenue,Recurring,,4550
Revenue,Recurring,,4541
Revenue,Recurring,,4541
Revenue,Recurring,,4536
Revenue,Recurring,,4532
Revenue,Recurring,,4442
Revenue,Recurring,,4424
Revenue,Recurring,,4410
Revenue,Recurring,,4388
Revenue,Recurring,,4383
Revenue,Recurring,,4374
Revenue,Recurring,,4361
Revenue,Recurring,,4347
Revenue,Recurring,,4316
Revenue,Recurring,,4248
Revenue,Recurring,,4248
Revenue,Recurring,,4248
Revenue,Recurring,,4226
Revenue,Recurring,,4217
Revenue,Recurring,,4212
Revenue,Recurring,,4185
Revenue,Recurring,,4158
Revenue,Recurring,,4145
Revenue,Recurring,,4140
Revenue,Recurring,,4140
Revenue,Recurring,,4122
Revenue,Recurring,,4122
Revenue,Recurring,,4059
Revenue,Recurring,,4055
Revenue,Recurring,,4050
Revenue,Recurring,,4037
Revenue,Recurring,,4005
Revenue,Recurring,,3992
Revenue,Recurring,,3924
Revenue,Recurring,,3879
Revenue,Recurring,,3866
Revenue,Recurring,,3843
Revenue,Recurring,,3839
Revenue,Recurring,,3834
Revenue,Recurring,,3830
Revenue,Recurring,,3821
Revenue,Recurring,,3794
Revenue,Recurring,,3794
Revenue,Recurring,,3785
Revenue,Recurring,,3758
Revenue,Recurring,,3731
Revenue,Recurring,,3722
Revenue,Recurring,,3713
Revenue,Recurring,,3708
Revenue,Recurring,,3708
Revenue,Recurring,,3708
Revenue,Recurring,,3681
Revenue,Recurring,,3668
Revenue,Recurring,,3645
Revenue,Recurring,,3641
Revenue,Recurring,,3641
Revenue,Recurring,,3641
Revenue,Recurring,,3641
Revenue,Recurring,,3641
Revenue,Recurring,,3641
Revenue,Recurring,,3641
Revenue,Recurring,,3636
Revenue,Recurring,,3632
Revenue,Recurring,,3632
Revenue,Recurring,,3632
Revenue,Recurring,,3632
Revenue,Recurring,,3632
Revenue,Recurring,,3609
Revenue,Recurring,,3605
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3600
Revenue,Recurring,,3596
Revenue,Recurring,,3578
Revenue,Recurring,,3578
Revenue,Recurring,,3578
Revenue,Recurring,,3573
Revenue,Recurring,,3569
Revenue,Recurring,,3569
Revenue,Recurring,,3524
Revenue,Recurring,,3524
Revenue,Recurring,,3519
Revenue,Recurring,,3510
Revenue,Recurring,,3510
Revenue,Recurring,,3488
Revenue,Recurring,,3461
Revenue,Recurring,,3456
Revenue,Recurring,,3447
Revenue,Recurring,,3447
Revenue,Recurring,,3443
Revenue,Recurring,,3416
Revenue,Recurring,,3411
Revenue,Recurring,,3393
Revenue,Recurring,,3393
Revenue,Recurring,,3371
Revenue,Recurring,,3348
Revenue,Recurring,,3348
Revenue,Recurring,,3335
Revenue,Recurring,,3303
Revenue,Recurring,,3281
Revenue,Recurring,,3263
Revenue,Recurring,,3258
Revenue,Recurring,,3245
Revenue,Recurring,,3236
Revenue,Recurring,,3222
Revenue,Recurring,,3209
Revenue,Recurring,,3204
Revenue,Recurring,,3200
Revenue,Recurring,,3200
Revenue,Recurring,,3177
Revenue,Recurring,,3173
Revenue,Recurring,,3155
Revenue,Recurring,,3150
Revenue,Recurring,,3137
Revenue,Recurring,,3128
Revenue,Recurring,,3110
Revenue,Recurring,,3083
Revenue,Recurring,,3047
Revenue,Recurring,,3038
Revenue,Recurring,,3038
Revenue,Recurring,,3033
Revenue,Recurring,,3029
Revenue,Recurring,,3029
Revenue,Recurring,,3015
Revenue,Recurring,,3011
Revenue,Recurring,,2988
Revenue,Recurring,,2979
Revenue,Recurring,,2970
Revenue,Recurring,,2970
Revenue,Recurring,,2961
Revenue,Recurring,,2934
Revenue,Recurring,,2930
Revenue,Recurring,,2925
Revenue,Recurring,,2925
Revenue,Recurring,,2925
Revenue,Recurring,,2925
Revenue,Recurring,,2925
Revenue,Recurring,,2925
Revenue,Recurring,,2925
Revenue,Recurring,,2925
Revenue,Recurring,,2925
Revenue,Recurring,,2912
Revenue,Recurring,,2876
Revenue,Recurring,,2862
Revenue,Recurring,,2858
Revenue,Recurring,,2849
Revenue,Recurring,,2840
Revenue,Recurring,,2840
Revenue,Recurring,,2831
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2813
Revenue,Recurring,,2808
Revenue,Recurring,,2799
Revenue,Recurring,,2799
Revenue,Recurring,,2799
Revenue,Recurring,,2799
Revenue,Recurring,,2799
Revenue,Recurring,,2790
Revenue,Recurring,,2790
Revenue,Recurring,,2750
Revenue,Recurring,,2745
Revenue,Recurring,,2732
Revenue,Recurring,,2723
Revenue,Recurring,,2714
Revenue,Recurring,,2700
Revenue,Recurring,,2700
Revenue,Recurring,,2696
Revenue,Recurring,,2687
Revenue,Recurring,,2682
Revenue,Recurring,,2682
Revenue,Recurring,,2669
Revenue,Recurring,,2655
Revenue,Recurring,,2642
Revenue,Recurring,,2637
Revenue,Recurring,,2624
Revenue,Recurring,,2619
Revenue,Recurring,,2615
Revenue,Recurring,,2561
Revenue,Recurring,,2561
Revenue,Recurring,,2520
Revenue,Recurring,,2511
Revenue,Recurring,,2507
Revenue,Recurring,,2493
Revenue,Recurring,,2480
Revenue,Recurring,,2471
Revenue,Recurring,,2466
Revenue,Recurring,,2453
Revenue,Recurring,,2444
